,Week,Online demand,Oil price,Temperature,Oil price momentum (%),Oil price momentum - month (%),Temperature momentum (%),Temperature momentum - month (%),Oil price momentum + capped,Oil price momentum - capped,Temperature momentum + capped,Temperature momentum - capped,Oil price momentum month + capped,Oil price momentum month - capped,Temperature momentum month + capped,Temperature momentum month - capped,Oil price W-4,Oil price W-8,Temperature W-4,Temperature W-8,Online demand mean at same date
40,2014-07-08,95307.41935483871,110.0,18.700000000000017,-2.2222222222222254,2.495267203430429,4.312668463611846,3.683113273106331,-0.0,-2.2222222222222254,4.312668463611846,0.0,2.495267203430429,0.0,3.683113273106331,0.0,109.95,108.37,22.950000000000017,12.200000000000017,0.0
41,2014-07-15,103194.83870967742,106.81,20.05000000000004,-2.9000000000000026,0.2578777116746256,3.4883720930233064,4.979253112033177,-0.0,-2.9000000000000026,3.4883720930233064,0.0,0.2578777116746256,0.0,4.979253112033177,0.0,112.97,109.33,18.75000000000003,18.400000000000006,0.0
42,2014-07-22,111082.25806451612,107.8,21.400000000000034,0.9268795056642576,-1.9096988465508669,3.3707865168539186,-1.654996817313792,0.9268795056642576,0.0,3.3707865168539186,0.0,-0.0,-1.9096988465508669,-0.0,-1.654996817313792,113.9,110.35,20.05000000000001,13.800000000000011,0.0
43,2014-07-29,118969.67741935483,107.46,18.30000000000001,-0.315398886827456,-3.8391346924241176,-7.487922705314054,-0.5072923272035235,-0.0,-0.315398886827456,-0.0,-7.487922705314054,-0.0,-3.8391346924241176,-0.0,-0.5072923272035235,112.5,108.8,17.100000000000023,16.80000000000004,0.0
44,2014-08-05,122328.06451612903,105.5,20.00000000000003,-1.8239344872510665,-4.851236175089568,4.438642297650164,6.9034852546917325,-0.0,-1.8239344872510665,4.438642297650164,0.0,-0.0,-4.851236175089568,6.9034852546917325,0.0,110.0,109.95,18.700000000000017,22.950000000000017,0.0
45,2014-08-12,122289.67741935483,104.5,20.55000000000001,-0.9478672985781977,-4.049998871866622,1.3749999999999485,5.731225296442677,-0.0,-0.9478672985781977,1.3749999999999485,0.0,-0.0,-4.049998871866622,5.731225296442677,0.0,106.81,112.97,20.05000000000004,18.75000000000003,0.0
46,2014-08-19,122251.29032258065,101.62,17.400000000000006,-2.7559808612440118,-4.124819839399696,-7.768187422934658,-1.294498381877096,-0.0,-2.7559808612440118,-0.0,-7.768187422934658,-0.0,-4.124819839399696,-0.0,-1.294498381877096,107.8,113.9,21.400000000000034,20.05000000000001,0.0
47,2014-08-26,122212.90322580645,102.71,21.350000000000023,1.0726234993111428,-4.105816187191891,10.561497326203263,1.0834926704907044,1.0726234993111428,0.0,10.561497326203263,0.0,-0.0,-4.105816187191891,1.0834926704907044,0.0,107.46,112.5,18.30000000000001,17.100000000000023,0.0
48,2014-09-02,123533.33333333333,102.64,19.05000000000001,-0.0681530522831153,-3.7654653039268293,-5.562273276904495,-1.7554858934170081,-0.0,-0.0681530522831153,-0.0,-5.562273276904495,-0.0,-3.7654653039268293,-0.0,-1.7554858934170081,105.5,110.0,20.00000000000003,18.700000000000017,0.0
49,2014-09-09,133006.66666666666,100.2,20.05000000000001,-2.377240841777084,-4.2538682217937325,2.5608194622279035,-2.9906542056075125,-0.0,-2.377240841777084,2.5608194622279035,0.0,-0.0,-4.2538682217937325,-0.0,-2.9906542056075125,104.5,106.81,20.55000000000001,20.05000000000004,0.0
50,2014-09-16,142480.0,97.96,18.00000000000003,-2.235528942115772,-3.715281091915623,-5.1186017478151875,2.885245901639366,-0.0,-2.235528942115772,-0.0,-5.1186017478151875,-0.0,-3.715281091915623,2.885245901639366,0.0,101.62,107.8,17.400000000000006,21.400000000000034,0.0
51,2014-09-23,151953.33333333334,96.91,13.800000000000011,-1.0718660677827674,-4.011295344290766,-11.052631578947402,-10.592686002522067,-0.0,-1.0718660677827674,-0.0,-11.052631578947402,-0.0,-4.011295344290766,-0.0,-10.592686002522067,102.71,107.46,21.350000000000023,18.30000000000001,0.0
52,2014-09-30,161426.66666666666,97.15,18.600000000000023,0.24765246104634375,-4.6783483607553356,14.20118343195269,-10.082961072112283,0.24765246104634375,0.0,14.20118343195269,0.0,-0.0,-4.6783483607553356,-0.0,-10.082961072112283,102.64,105.5,19.05000000000001,20.00000000000003,145980.0
53,2014-10-07,161223.87096774194,91.89500000000001,17.450000000000017,-5.409161091096237,-5.711373627723049,-2.9792746113989743,-12.84521515735384,-0.0,-5.409161091096237,-0.0,-2.9792746113989743,-0.0,-5.711373627723049,-0.0,-12.84521515735384,100.2,104.5,20.05000000000001,20.55000000000001,138785.8064516129
54,2014-10-14,159408.38709677418,88.23,15.500000000000028,-3.988247456336047,-7.267477881589057,-5.206942590120123,-16.69853409815166,-0.0,-3.988247456336047,-0.0,-5.206942590120123,-0.0,-7.267477881589057,-0.0,-16.69853409815166,97.96,101.62,18.00000000000003,17.400000000000006,131591.61290322582
55,2014-10-21,157592.90322580645,86.46799999999999,17.450000000000017,-1.9970531565227434,-8.540645193734143,5.492957746478844,-2.6798307475316974,-0.0,-1.9970531565227434,5.492957746478844,0.0,-0.0,-8.540645193734143,-0.0,-2.6798307475316974,96.91,102.71,13.800000000000011,21.350000000000023,124397.41935483871
